store_nbr,item_nbr,onpromotion,type,cluster,class,perishable,oil_price,transactions,year,month_num,day,weekday,lag_7,lag_30,roll_mean_7,roll_mean_30,Actual,Predicted
3,1967642,0,3,8,1044,0,37.74,2973.0,2016,4,6,6,3.0,11.0,11.0,8.166666666666666,19.0,8.914703126790778
3,114800,0,3,8,4126,0,29.45,3251.0,2016,1,15,0,14.0,10.0,8.285714285714286,11.8,9.0,9.305856691704419
2,1464034,0,3,13,1148,0,44.47,1600.0,2016,8,14,3,12.0,9.0,9.571428571428571,13.933333333333334,10.0,12.91604096473979
2,559494,0,3,13,2708,1,37.3,1790.0,2016,4,7,4,5.0,1.0,3.142857142857143,3.5,1.0,2.987088377368354
3,587156,0,3,8,3026,0,43.18,3048.0,2016,4,21,4,2.0,5.0,19.285714285714285,10.433333333333334,11.0,13.596752627522148
3,872309,0,3,8,1034,0,41.83,3161.0,2016,8,7,3,3.0,1.0,1.5714285714285714,1.6,2.0,2.069190407672988
1,1471913,0,3,13,6516,0,42.72,2073.0,2016,4,20,6,1.0,2.0,1.7142857142857142,1.7,1.0,1.8300520344581783
3,509872,0,3,8,1086,0,36.91,2822.0,2016,3,29,5,6.0,8.0,3.7142857142857144,4.1,4.0,3.4961476317429216
2,1259952,0,3,13,1030,0,46.72,2010.0,2016,11,26,2,1.0,2.0,1.5714285714285714,2.4,1.0,2.0501998346921013
3,122095,0,3,8,2124,1,39.91,2983.0,2016,3,21,1,7.0,11.0,7.285714285714286,7.433333333333334,7.0,6.9133900994741015
1,1071949,0,3,13,1120,0,43.39,1448.0,2016,11,12,2,2.0,3.0,4.571428571428571,5.633333333333334,5.0,5.2909705549872275
3,2010278,0,3,8,1032,0,49.76,3706.0,2016,10,8,2,2.0,1.0,2.4285714285714284,2.1666666666666665,4.0,2.663115226727046
3,177395,0,3,8,1032,0,39.74,3263.0,2016,4,8,0,8.0,16.0,6.285714285714286,5.833333333333333,9.0,5.918487932111473
2,1047772,0,3,13,1126,0,44.62,1747.0,2016,11,10,4,11.0,6.0,9.285714285714286,7.433333333333334,4.0,7.634971226193291
3,1178691,0,3,8,3020,0,44.36,3144.0,2016,9,23,0,9.0,8.0,7.428571428571429,7.233333333333333,14.0,6.901820288177017
1,127534,0,3,13,1032,0,48.67,1713.0,2016,10,4,5,1.0,2.0,1.7142857142857142,1.5333333333333334,4.0,2.276441494488844
2,1038945,0,3,13,2708,1,45.72,1789.0,2016,8,15,1,4.0,4.0,3.857142857142857,3.8,3.0,3.63907235805392
2,1304490,0,3,13,1026,0,47.48,1886.0,2016,11,21,1,1.0,1.0,1.1428571428571428,1.1666666666666667,1.0,1.894482655564042
3,754103,0,3,8,1072,0,44.58,3329.0,2016,5,8,3,17.0,6.0,2.7142857142857144,3.8,6.0,5.8248690283853515
4,265086,0,3,9,1124,0,46.72,1411.0,2016,11,25,0,10.0,7.0,7.142857142857143,8.1,7.0,7.386372842879386
4,583868,1,3,9,2302,1,49.02,1567.0,2016,7,1,0,7.537,6.264,4.341000000000002,3.9928,2.759,5.451577381698946
1,1421428,0,3,13,1124,0,43.41,501.0,2016,7,24,3,1.0,1.0,1.5714285714285714,1.8,2.0,1.913519882962052
3,1279049,1,3,8,2708,1,49.09,3433.0,2016,6,12,3,42.0,17.0,26.0,25.966666666666665,37.0,35.0702555525421
2,1696022,0,3,13,2026,1,48.07,1815.0,2016,11,22,5,10.0,10.0,8.428571428571429,9.166666666666666,3.0,8.42035488310083
2,318932,0,3,13,2644,1,46.81,1827.0,2016,8,17,6,11.0,5.0,4.857142857142857,6.0,3.0,5.017479940991875
3,938567,1,3,8,1042,0,33.29,2946.0,2016,1,7,4,2.0,4.0,11.0,7.466666666666667,6.0,9.270650825358013
1,1239789,0,3,13,2162,1,34.57,1914.0,2016,3,2,6,1.0,3.0,5.285714285714286,5.7,3.0,5.669985828918787
2,116018,0,3,13,1072,0,29.45,2153.0,2016,1,17,3,12.0,8.0,8.571428571428571,8.7,11.0,10.301825060781923
1,2010359,0,3,13,1068,0,43.96,1654.0,2016,7,21,4,2.0,1.0,2.857142857142857,2.8,2.0,2.606122312793805
1,1693647,0,3,13,2028,1,46.97,1631.0,2016,8,29,1,10.0,4.0,6.857142857142857,10.833333333333334,10.0,7.970837207906564
1,621300,0,3,13,1040,0,44.58,1486.0,2016,5,7,2,8.0,5.0,6.285714285714286,7.166666666666667,8.0,6.986305772990718
2,265254,0,3,13,1016,0,33.21,1756.0,2016,1,28,4,14.0,12.0,19.571428571428573,19.333333333333332,6.0,16.592862890734448
2,468265,0,3,13,1122,0,45.93,1971.0,2016,7,16,2,11.0,1.0,4.428571428571429,5.866666666666666,10.0,5.690846560128539
3,1112839,0,3,8,3038,0,44.47,2896.0,2016,8,14,3,3.0,11.0,5.142857142857143,9.0,8.0,7.017592633268088
3,1088002,0,3,8,1126,0,44.36,3535.0,2016,9,25,3,11.0,9.0,7.285714285714286,5.866666666666666,4.0,7.968301608126672
3,564533,0,3,8,1012,0,47.67,3564.0,2016,5,21,2,61.0,44.0,51.714285714285715,51.1,104.0,59.06115336988906
3,741922,0,3,8,1028,0,30.86,2739.0,2016,2,7,3,1.0,1.0,2.5714285714285716,2.6666666666666665,3.0,2.873491497573512
1,211203,0,3,13,1072,0,29.45,513.0,2016,1,17,3,3.0,5.0,10.714285714285714,9.433333333333334,8.0,10.588085866571781
3,1473403,0,3,8,2010,1,41.13,2680.0,2016,7,28,4,86.756,35.254,100.35414285714283,88.34683333333334,53.195,79.58981583005114
1,464334,0,3,13,1040,0,52.01,1993.0,2016,12,24,2,1.0,1.0,1.5714285714285714,2.0,1.0,2.0501998346921013
4,261053,0,3,9,1072,0,29.45,1510.0,2016,1,15,0,5.0,10.0,16.857142857142858,14.833333333333334,16.0,14.81335061430768
1,987308,0,3,13,1076,0,32.07,1322.0,2016,1,23,2,9.0,11.0,6.142857142857143,7.466666666666667,10.0,6.772833565158497
2,639586,0,3,13,1004,0,42.4,1747.0,2016,7,25,1,27.0,5.0,19.714285714285715,21.666666666666668,12.0,19.88006903106657
3,870545,0,3,8,4126,0,30.35,2979.0,2016,2,24,6,4.0,5.0,13.285714285714286,10.966666666666667,16.0,10.552360261109637
2,833644,0,3,13,1034,0,44.68,1795.0,2016,8,31,6,3.0,2.0,2.4285714285714284,2.8,3.0,2.43899344876093
2,1164290,0,3,13,2116,1,34.3,1828.0,2016,4,4,1,7.0,2.0,6.285714285714286,6.1,2.0,6.3977704243703135
3,844017,0,3,8,2632,1,31.84,2839.0,2016,2,23,5,9.0,18.0,15.428571428571429,14.7,5.0,13.24811838101132
3,362548,0,3,8,1042,0,47.92,3117.0,2016,6,15,6,21.0,14.0,34.0,27.8,63.0,27.432847456286794
1,1939531,0,3,13,1144,0,31.37,1758.0,2016,2,22,1,6.0,2.0,3.5714285714285716,4.233333333333333,4.0,3.5754286215713313
1,913102,0,3,13,1124,0,44.47,515.0,2016,8,12,0,2.0,2.0,2.857142857142857,3.3333333333333335,3.0,2.6084186666521454
4,570922,0,3,9,3020,0,51.93,1834.0,2016,12,18,3,1.0,2.0,1.8571428571428572,1.6666666666666667,1.0,2.1133721085321495
1,219147,0,3,13,1122,0,30.86,401.0,2016,2,7,3,2.0,9.0,3.5714285714285716,3.4,2.0,3.4357252006601158
2,1148018,0,3,13,1318,0,42.76,2091.0,2016,4,22,0,3.0,6.0,3.2857142857142856,2.966666666666667,3.0,2.955620530740927
3,1441514,0,3,8,1008,0,45.98,3737.0,2016,4,30,2,17.0,14.0,9.142857142857142,13.233333333333333,14.0,12.39917350425799
4,414888,0,3,9,3090,0,45.37,1477.0,2016,7,8,0,6.0,2.0,3.2857142857142856,2.7666666666666666,3.0,2.817334019675804
4,567644,0,3,9,1042,0,46.7,1674.0,2016,6,26,3,11.0,6.0,11.142857142857142,8.633333333333333,6.0,11.891484879169333
4,463901,0,3,9,3034,0,49.14,1253.0,2016,6,2,4,5.0,4.0,5.428571428571429,6.733333333333333,6.0,5.824355910194222
2,871421,0,3,13,1124,0,47.72,1589.0,2016,9,29,4,5.0,6.0,6.285714285714286,6.6,2.0,5.76903436001654
3,1228950,0,3,8,4118,0,49.75,3214.0,2016,10,5,6,5.0,3.0,1.2857142857142858,1.7666666666666666,1.0,1.9845471747679113
2,164088,0,3,13,2116,1,51.44,2923.0,2016,12,21,6,6.0,3.0,4.285714285714286,3.6,5.0,3.869174365847612
3,641042,1,3,8,1026,0,26.19,2921.0,2016,2,11,4,10.0,26.0,11.571428571428571,13.333333333333334,13.0,11.402200650006028
1,886398,0,3,13,1042,0,34.3,1721.0,2016,4,4,1,3.0,4.0,2.5714285714285716,2.933333333333333,3.0,2.8599600053714496
1,105693,0,3,13,1034,0,38.43,1851.0,2016,3,16,6,3.0,1.0,1.7142857142857142,1.6333333333333333,1.0,1.8300520344581783
2,1143691,0,3,13,1040,0,44.96,2074.0,2016,7,20,6,6.0,7.0,5.428571428571429,4.566666666666666,5.0,4.53745788432794
4,363868,0,3,9,1016,0,30.42,1367.0,2016,1,12,5,2.0,5.0,9.428571428571429,8.166666666666666,4.0,7.809547704944066
1,1576329,0,3,13,5324,0,43.18,1852.0,2016,4,21,4,1.0,2.0,1.5714285714285714,1.2666666666666666,2.0,1.7762268497246398
1,172184,0,3,13,1058,0,52.13,2144.0,2016,12,19,1,1.0,2.0,2.4285714285714284,2.6,4.0,2.2542438030296665
3,513379,0,3,8,4126,0,47.64,3083.0,2016,8,26,0,3.0,3.0,4.428571428571429,5.6,3.0,4.8210753645593805
1,673306,0,3,13,1072,0,46.97,1631.0,2016,8,29,1,1.0,1.0,2.142857142857143,1.9,1.0,2.055557994496287
2,1987263,0,3,13,1040,0,45.33,1887.0,2016,9,21,6,4.0,4.0,1.7142857142857142,2.1,1.0,1.8300520344581783
1,1533357,0,3,13,5322,0,31.84,1768.0,2016,2,23,5,1.0,1.0,2.7142857142857144,2.0,1.0,2.36840620019865
2,1159726,0,3,13,1076,0,43.04,1964.0,2016,9,16,0,11.0,7.0,6.571428571428571,7.366666666666666,6.0,6.720251996806768
4,671908,1,3,9,2636,1,42.76,1507.0,2016,4,22,0,1.0,2.0,1.1428571428571428,1.6333333333333333,1.0,2.3537161509959135
3,1309298,0,3,8,1122,0,45.69,3913.0,2016,11,20,3,15.0,13.0,13.857142857142858,11.533333333333333,25.0,16.084709245821006
1,1920145,0,3,13,1016,0,31.4,1689.0,2016,2,25,4,2.0,4.0,3.7142857142857144,3.6,3.0,3.315320921126413
2,956011,1,3,13,1064,0,54.01,2247.0,2016,12,28,6,5.0,2.0,1.8571428571428572,1.9333333333333333,1.0,2.295344021229123
2,564533,0,3,13,1012,0,44.66,1552.0,2016,11,3,4,9.0,25.0,18.142857142857142,20.066666666666666,23.0,17.14401948559832
3,765517,0,3,8,1060,0,44.96,3274.0,2016,7,20,6,3.0,2.0,3.5714285714285716,3.2,5.0,3.201279530843414
1,422452,0,3,13,1032,0,38.51,1354.0,2016,3,12,2,2.0,1.0,1.7142857142857142,1.8666666666666667,4.0,1.992440780539224
3,1695984,1,3,8,2016,1,37.74,2973.0,2016,4,6,6,8.292,4.606,12.82157142857143,13.392666666666665,13.513,13.177489110307416
3,521818,0,3,8,1058,0,36.67,2891.0,2016,3,8,5,11.0,7.0,8.428571428571429,8.3,8.0,7.7071053304785275
1,1350565,0,3,13,1136,0,48.0,1831.0,2016,6,17,0,4.0,1.0,3.4285714285714284,4.033333333333333,7.0,3.450598682291235
3,2011220,0,3,8,1032,0,41.83,3161.0,2016,8,7,3,9.0,4.0,8.428571428571429,5.9,12.0,8.947403241363938
2,1084881,0,3,13,1040,0,42.4,1747.0,2016,7,25,1,4.0,6.0,6.428571428571429,4.633333333333334,7.0,5.21641311255284
1,1965853,0,3,13,1016,0,51.7,568.0,2016,12,4,3,1.0,3.0,5.0,5.166666666666667,2.0,5.297969998904522
3,404454,0,3,8,1034,0,31.37,2950.0,2016,2,22,1,2.0,4.0,4.285714285714286,3.466666666666667,5.0,3.854772195205781
1,2010428,0,3,13,1032,0,44.64,1749.0,2016,7,19,5,1.0,2.0,1.5714285714285714,1.4333333333333333,1.0,1.8300520344581783
1,1239891,0,3,13,2420,1,30.77,1746.0,2016,2,18,4,5.125,4.199,4.9394285714285715,6.334733333333333,6.026,4.89272968031965
4,664545,0,3,9,4126,0,34.56,1301.0,2016,3,3,4,5.0,5.0,3.5714285714285716,3.7666666666666666,2.0,3.790445353792356
1,1333307,0,3,13,2786,1,31.42,1767.0,2016,1,11,1,26.0,39.0,35.857142857142854,30.133333333333333,50.0,30.484998711434006
1,582864,0,3,13,2302,1,51.59,1785.0,2016,10,19,6,22.412,26.598,18.88771428571428,22.327366666666663,14.777,18.340046416593626
2,1963265,0,3,13,2174,1,45.69,2015.0,2016,11,20,3,30.0,10.0,11.428571428571429,11.166666666666666,11.0,15.535960396717853
3,1105831,0,3,8,1092,0,52.99,3278.0,2016,12,13,5,13.0,18.0,8.285714285714286,7.066666666666666,4.0,7.284027478976237
3,2011208,0,3,8,1050,0,45.2,3196.0,2016,11,9,6,8.0,9.0,8.571428571428571,9.4,7.0,7.911070153528332
1,511172,0,3,13,2712,1,52.01,3023.0,2016,12,23,0,17.0,2.0,2.2857142857142856,3.466666666666667,2.0,4.868000198965967
3,1662320,0,3,8,2032,1,50.95,3462.0,2016,12,6,5,24.0,32.0,39.285714285714285,39.03333333333333,13.0,32.363242831501175
3,305345,0,3,8,1092,0,45.23,3059.0,2016,7,18,1,4.0,5.0,2.4285714285714284,2.6666666666666665,3.0,2.2542438030296665
1,470624,0,3,13,3046,0,42.4,1697.0,2016,7,25,1,1.0,2.0,2.857142857142857,3.566666666666667,4.0,2.9971125193959067
2,1400331,0,3,13,3016,0,37.13,6.0,2016,1,2,2,5.0,3.0,4.857142857142857,4.166666666666667,8.0,4.816210477166908
3,1958249,0,3,8,1142,0,49.36,2987.0,2016,5,30,1,27.0,5.0,16.714285714285715,12.966666666666667,10.0,16.400696795563825
3,1386894,0,3,8,6328,0,45.69,3210.0,2016,11,18,0,0.0,1.0,2.0,1.7,1.0,3.5707608068473107
2,1306197,0,3,13,3020,0,29.45,1852.0,2016,1,18,1,3.0,6.0,5.285714285714286,5.4,5.0,5.0981254973607735
2,414621,0,3,13,1016,0,31.22,1755.0,2016,1,14,4,4.0,2.0,10.428571428571429,11.133333333333333,2.0,9.210199218593768
1,1642399,0,3,13,2028,1,51.72,1887.0,2016,12,5,1,65.352,17.981,68.79657142857144,64.817,38.577,62.32716662409874
4,781796,0,3,9,2228,0,34.56,1301.0,2016,3,3,4,6.0,6.0,12.142857142857142,11.766666666666667,4.0,10.991210556859826
1,1239902,1,3,13,2420,1,35.91,1781.0,2016,3,4,0,12.321,6.38,9.681000000000001,8.891566666666668,7.961,10.447723501718757
3,794245,0,3,8,1010,0,42.72,3569.0,2016,4,20,6,6.0,10.0,12.428571428571429,8.3,14.0,9.828632337553113
3,103520,0,3,8,1028,0,48.16,2747.0,2016,5,19,4,8.0,5.0,4.714285714285714,4.733333333333333,7.0,4.375273194468111
2,1114903,0,3,13,3034,0,41.92,1724.0,2016,8,4,4,2.0,1.0,1.5714285714285714,1.6666666666666667,1.0,2.2226163097553053
2,587186,0,3,13,3026,0,46.22,1862.0,2016,5,13,0,9.0,6.0,6.285714285714286,8.733333333333333,1.0,6.9130075694008895
2,660502,0,3,13,1004,0,49.07,1961.0,2016,6,1,6,34.0,12.0,26.714285714285715,24.533333333333335,18.0,29.59954361034464
2,759697,0,3,13,1124,0,31.4,1744.0,2016,2,25,4,3.0,3.0,3.4285714285714284,3.8666666666666667,1.0,3.335517358741435
2,1464045,0,3,13,1114,0,47.37,1841.0,2016,7,6,6,11.0,2.0,13.285714285714286,15.833333333333334,10.0,12.733119257732577
2,215352,0,3,13,1016,0,49.75,1896.0,2016,10,5,6,12.0,26.0,22.714285714285715,19.233333333333334,31.0,18.66727632913827
2,1943149,0,3,13,3032,0,50.31,1813.0,2016,10,20,4,4.0,2.0,2.4285714285714284,2.2,1.0,2.1391624794798667
3,986193,0,3,8,2702,1,49.02,3414.0,2016,7,3,3,9.0,11.0,16.428571428571427,18.233333333333334,15.0,20.17230444233264
3,1281253,0,3,8,1056,0,30.31,2830.0,2016,1,25,1,2.0,1.0,2.857142857142857,1.9333333333333333,1.0,2.580675674649719
2,1471460,1,3,13,2128,1,52.13,2314.0,2016,12,19,1,3.0,1.0,5.857142857142857,5.466666666666667,4.0,6.213444947922877
2,563654,0,3,13,3034,0,44.66,1552.0,2016,11,3,4,4.0,2.0,3.7142857142857144,3.433333333333333,1.0,3.6085472222466333
2,1464907,0,3,13,1144,0,44.64,1636.0,2016,7,19,5,12.0,6.0,6.571428571428571,8.933333333333334,1.0,7.576634649460226
3,2026432,0,3,8,1118,0,35.97,3057.0,2016,1,5,5,4.0,17.0,3.7142857142857144,5.566666666666666,3.0,4.011617259918708
1,1446726,0,3,13,2104,1,49.76,539.0,2016,10,9,3,3.0,1.0,2.4285714285714284,2.6,3.0,2.427433334030106
3,1689921,0,3,8,2008,1,44.73,2910.0,2016,7,11,1,11.398,14.233,27.205999999999996,22.253966666666667,35.268,22.719375296720262
3,176411,0,3,8,3016,0,48.95,2925.0,2016,6,21,5,1.0,1.0,1.8571428571428572,1.9666666666666666,1.0,1.8300520344581783
3,355091,0,3,8,1038,0,51.59,2914.0,2016,10,19,6,7.0,1.0,5.571428571428571,4.166666666666667,1.0,4.670770313952771
3,757880,0,3,8,1004,0,43.41,3206.0,2016,7,22,0,6.0,10.0,6.714285714285714,7.433333333333334,8.0,6.5853102858523025
1,1328471,0,3,13,3016,0,42.52,1727.0,2016,4,26,5,1.0,1.0,2.2857142857142856,2.2666666666666666,4.0,2.0836869323671174
2,563966,0,3,13,1124,0,43.39,2152.0,2016,11,12,2,1.0,1.0,4.0,3.3333333333333335,4.0,3.9948089907655757
2,1686665,0,3,13,2020,1,35.91,2001.0,2016,3,4,0,1.0,2.0,3.0,2.066666666666667,1.0,2.98542489259004
1,939661,0,3,13,1045,0,44.88,1755.0,2016,11,7,1,1.0,1.0,2.142857142857143,2.1666666666666665,2.0,2.0113762936371256
4,664545,0,3,9,4126,0,46.72,1558.0,2016,11,26,2,1.0,3.0,4.571428571428571,2.933333333333333,4.0,4.250267100393318
1,1457417,0,3,13,3110,0,45.56,1901.0,2016,11,16,6,9.0,1.0,3.0,2.7666666666666666,4.0,3.3192760723975354
3,850333,0,3,8,1084,0,51.93,3930.0,2016,12,16,0,5.0,6.0,9.571428571428571,7.666666666666667,6.0,8.144786677794272
1,153239,0,3,13,2712,1,36.91,1654.0,2016,3,30,6,11.0,5.0,1.2857142857142858,2.5,1.0,2.7592858834441074
3,2007117,0,3,8,2172,1,44.96,3274.0,2016,7,20,6,1.0,3.0,4.857142857142857,4.7,4.0,4.16484623869547
3,716241,0,3,8,3020,0,45.93,3368.0,2016,7,17,3,1.0,1.0,1.2857142857142858,1.4,1.0,2.1133721085321495
3,1695845,0,3,8,2006,1,34.52,2968.0,2016,4,5,5,123.0,154.0,146.42857142857142,141.0,107.0,125.92209185618803
3,261052,0,3,8,1072,0,38.14,3423.0,2016,3,26,2,22.0,15.0,27.428571428571427,30.7,27.0,30.671552954926096
3,1239860,0,3,8,2420,1,30.77,2681.0,2016,2,18,4,12.944,12.878,19.49114285714285,23.797966666666664,16.054,17.17247226405129
3,1931079,0,3,8,6516,0,47.37,3174.0,2016,7,6,6,1.0,1.0,1.1428571428571428,1.3,1.0,1.8308676036911098
3,1990768,0,3,8,1136,0,32.29,3230.0,2016,2,3,6,5.0,1.0,4.142857142857143,4.233333333333333,2.0,4.190673854607077
2,1920084,0,3,13,1016,0,40.17,1752.0,2016,3,17,4,23.0,14.0,6.714285714285714,12.6,6.0,9.040014777017946
2,329362,0,3,13,1032,0,31.22,1755.0,2016,1,14,4,5.0,8.0,5.714285714285714,7.633333333333334,2.0,5.750608597743896
3,314879,0,3,8,3034,0,44.58,3599.0,2016,5,6,0,5.0,5.0,5.285714285714286,5.8,1.0,5.381031548801738
2,742735,0,3,13,4126,0,43.41,1803.0,2016,7,24,3,6.0,2.0,2.857142857142857,4.333333333333333,2.0,3.8690098368017485
1,1464919,0,3,13,1148,0,51.08,1868.0,2016,12,1,4,10.0,10.0,9.0,7.933333333333334,15.0,8.517866757965635
3,1695989,1,3,8,2016,1,53.75,4608.0,2016,12,31,2,24.0,11.0,19.0,20.1,20.0,26.835895858484392
3,464339,0,3,8,1040,0,37.9,2963.0,2016,3,7,1,24.0,11.0,16.857142857142858,13.166666666666666,22.0,15.277295064765024
3,1229028,0,3,8,4176,0,44.87,2934.0,2016,7,13,6,11.0,6.0,7.428571428571429,7.966666666666667,3.0,7.157807165261311
3,322094,0,3,8,3020,0,47.93,2688.0,2016,6,28,5,1.0,6.0,3.142857142857143,3.1,3.0,2.927768366008224
3,119624,0,3,8,1122,0,47.07,2925.0,2016,9,28,6,2.0,7.0,6.0,6.7,4.0,5.806880116856223
2,452022,0,3,13,1030,0,46.7,1866.0,2016,6,24,0,4.0,4.0,2.7142857142857144,2.7,3.0,2.4296623390149112
3,317285,0,3,8,1236,0,49.45,2722.0,2016,10,25,5,132.0,26.0,25.428571428571427,22.366666666666667,39.0,26.538559720290262
2,1289418,0,3,13,1002,0,45.8,1807.0,2016,6,27,1,1.0,1.0,2.4285714285714284,2.1333333333333333,2.0,2.2542438030296665
3,1354713,0,3,8,1016,0,48.95,2925.0,2016,6,21,5,12.0,26.0,9.857142857142858,10.033333333333333,9.0,9.17735725462058
1,1047707,1,3,13,1122,0,48.67,1713.0,2016,10,4,5,1.0,1.0,1.8571428571428572,1.3666666666666667,1.0,2.7417334812597884
2,1958217,0,3,13,1142,0,29.59,2168.0,2016,2,20,2,1.0,1.0,7.285714285714286,5.933333333333334,17.0,7.475161970028637
1,1964739,0,3,13,1136,0,51.7,1909.0,2016,12,2,0,3.0,11.0,5.571428571428571,6.866666666666666,2.0,6.277771082724731
3,1981370,1,3,8,1042,0,49.71,2677.0,2016,10,27,4,14.0,8.0,12.571428571428571,15.866666666666667,8.0,14.297463565877557
4,769314,0,3,9,3020,0,41.75,1284.0,2016,8,10,6,3.0,4.0,3.7142857142857144,2.966666666666667,4.0,2.92119834640065
3,1963919,0,3,8,1002,0,49.97,2873.0,2016,10,17,1,1.0,1.0,1.4285714285714286,1.6333333333333333,2.0,1.894482655564042
2,464339,0,3,13,1040,0,36.32,1804.0,2016,3,15,5,5.0,11.0,9.0,10.0,2.0,8.357402037223641
3,1239785,0,3,8,2174,1,52.22,4693.0,2016,12,20,5,21.0,46.0,11.285714285714286,14.966666666666667,14.0,14.589604341041152
1,1159726,0,3,13,1076,0,50.52,1577.0,2016,6,9,4,2.0,2.0,3.857142857142857,5.033333333333333,3.0,3.626675641832262
2,1975512,0,3,13,1034,0,30.35,1823.0,2016,2,24,6,4.0,4.0,4.142857142857143,4.066666666666666,3.0,3.740120656534028
2,1166475,0,3,13,1120,0,50.47,1568.0,2016,10,13,4,3.0,25.0,16.714285714285715,18.7,6.0,14.912126323508483
1,1501524,1,3,13,2004,1,34.57,1914.0,2016,3,2,6,9.0,4.0,6.857142857142857,7.366666666666666,13.0,8.587608254072777
1,802833,0,3,13,1045,0,48.48,1654.0,2016,8,19,0,1.0,2.0,1.5714285714285714,2.7666666666666666,2.0,1.894482655564042
2,1162755,0,3,13,2502,1,38.43,1917.0,2016,3,16,6,3.0,5.0,2.4285714285714284,3.1666666666666665,2.0,2.452097612006765
2,271478,0,3,13,2124,1,51.93,2436.0,2016,12,17,2,3.0,4.0,2.857142857142857,2.8333333333333335,2.0,3.125760123134977
4,559494,1,3,9,2708,1,44.07,1373.0,2016,11,5,2,5.0,6.0,2.7142857142857144,3.066666666666667,9.0,3.410078815950866
2,2002043,0,3,13,5222,0,34.3,1828.0,2016,4,4,1,3.0,4.0,3.5714285714285716,3.6333333333333333,3.0,3.854963358012185
4,103520,0,3,9,1028,0,45.98,1681.0,2016,5,1,3,2.0,3.0,1.7142857142857142,2.1666666666666665,1.0,2.4629946645023324
3,1444598,0,3,8,1008,0,32.32,3074.0,2016,1,27,6,5.0,6.0,5.714285714285714,6.466666666666667,12.0,5.643656046128775
2,1421156,0,3,13,1136,0,39.74,1940.0,2016,4,10,3,2.0,8.0,3.857142857142857,4.0,7.0,4.136892477802015
4,796394,0,3,9,3046,0,42.52,1215.0,2016,4,26,5,9.0,3.0,4.428571428571429,7.8,5.0,5.158991940677552
3,988459,0,3,8,2904,1,34.3,3018.0,2016,4,4,1,49.177,62.133,66.52342857142857,62.474399999999996,78.13,61.14351024421039
2,1584295,0,3,13,7780,0,35.36,1883.0,2016,4,1,0,2.0,6.0,2.7142857142857144,2.933333333333333,5.0,3.0103671201108515
2,1908340,0,3,13,3110,0,32.07,2273.0,2016,1,23,2,1.0,3.0,1.0,1.3333333333333333,1.0,2.0501998346921013
2,675524,0,3,13,2956,1,29.32,2110.0,2016,2,14,3,9.0,7.0,10.0,7.533333333333333,22.0,10.600302709367321
2,692531,0,3,13,1040,0,50.35,1887.0,2016,10,14,0,2.0,2.0,2.4285714285714284,2.6333333333333333,2.0,2.2542438030296665
3,1932492,0,3,8,1122,0,33.2,3740.0,2016,1,10,3,10.0,3.0,7.0,7.466666666666667,5.0,8.053352382265675
1,558730,0,3,13,2112,1,38.14,1041.0,2016,3,26,2,8.0,2.0,5.714285714285714,5.333333333333333,2.0,5.902739984725473
1,1342003,0,3,13,1014,0,48.69,1261.0,2016,6,4,2,9.0,2.0,3.4285714285714284,3.7,2.0,4.508634080545948
3,1457416,0,3,8,3110,0,41.83,3306.0,2016,8,6,2,1.0,1.0,5.857142857142857,4.1,8.0,5.451134340659159
3,1146496,0,3,8,2246,0,49.71,2887.0,2016,6,6,1,15.0,38.0,34.857142857142854,37.63333333333333,5.0,30.75770676896966
2,1457251,0,3,13,3110,0,29.9,1872.0,2016,2,2,5,3.0,16.0,3.5714285714285716,4.8,2.0,4.164696047434304
1,830749,0,3,13,1074,0,32.32,1884.0,2016,1,27,6,2.0,1.0,2.142857142857143,2.066666666666667,1.0,2.00462833731428
3,1695828,0,3,8,2004,1,41.67,2893.0,2016,4,25,1,51.627,87.716,79.32428571428575,92.2309,0.612,74.30027496183703
2,1393047,0,3,13,1040,0,46.7,2088.0,2016,6,25,2,4.0,1.0,4.571428571428571,3.6333333333333333,8.0,4.526175983445619
3,564287,0,3,8,2718,1,45.98,3732.0,2016,5,1,3,36.0,68.0,35.42857142857143,40.53333333333333,25.0,47.76502789659488
4,464339,0,3,9,1040,0,35.91,1789.0,2016,3,6,3,12.0,14.0,12.0,8.033333333333333,23.0,12.891032247717913
3,671039,0,3,8,1122,0,45.98,3737.0,2016,4,30,2,20.0,69.0,36.0,38.96666666666667,53.0,40.825011255271484
2,428054,0,3,13,1032,0,49.36,1764.0,2016,5,29,3,5.0,4.0,2.7142857142857144,3.466666666666667,3.0,3.230774107415527
2,1239790,0,3,13,2162,1,29.9,1872.0,2016,2,2,5,4.0,12.0,10.857142857142858,12.9,8.0,11.059317761957205
3,938570,0,3,8,1042,0,29.32,3682.0,2016,2,14,3,8.0,4.0,9.285714285714286,9.333333333333334,13.0,10.67470148052249
2,1576324,0,3,13,5324,0,47.67,2139.0,2016,5,21,2,1.0,2.0,1.4285714285714286,1.6333333333333333,1.0,2.0501998346921013
2,884878,0,3,13,1124,0,50.61,1933.0,2016,10,21,0,4.0,6.0,7.142857142857143,6.0,5.0,6.537825065854763
3,874593,0,3,8,1016,0,45.88,3590.0,2016,9,10,2,3.0,5.0,3.2857142857142856,4.333333333333333,6.0,3.7010471031963394
1,841612,0,3,13,3038,0,49.02,1790.0,2016,7,4,1,2.0,2.0,3.857142857142857,6.2,4.0,4.77400651838347
